Profile,D1,D2,D3,Exact reachable outcomes
C,Tactical,Tactical,Bank,SALE / I0 / 3/6 (100.0%)
C,Tactical,Tactical,Press,BOLTS / I0 / 0/6 (35.0%); SALE / I0 / 3/6 (35.0%); SALE / I1 / 4/6 (30.0%)
C,Tactical,Strategic,Bank,SALE / I0 / 3/6 (100.0%)
C,Tactical,Strategic,Press,BOLTS / I0 / 0/6 (35.0%); SALE / I0 / 3/6 (35.0%); SALE / I1 / 4/6 (30.0%)
C,Tactical,Flex,Bank,SALE / I0 / 3/6 (100.0%)
C,Tactical,Flex,Press,BOLTS / I0 / 0/6 (35.0%); SALE / I0 / 3/6 (35.0%); SALE / I1 / 4/6 (30.0%)
C,Strategic,Tactical,Bank,SALE / I0 / 3/6 (100.0%)
C,Strategic,Tactical,Press,BOLTS / I0 / 0/6 (35.0%); SALE / I0 / 3/6 (35.0%); SALE / I1 / 4/6 (30.0%)
C,Strategic,Strategic,Bank,SALE / I1 / 4/6 (100.0%)
C,Strategic,Strategic,Press,BOLTS / I1 / 1/6 (35.0%); SALE / I1 / 4/6 (30.0%); SALE / I1 / 4/6 (35.0%)
C,Strategic,Flex,Bank,SALE / I1 / 4/6 (100.0%)
C,Strategic,Flex,Press,BOLTS / I1 / 1/6 (35.0%); SALE / I1 / 4/6 (30.0%); SALE / I1 / 4/6 (35.0%)
C,Flex,Tactical,Bank,SALE / I0 / 3/6 (100.0%)
C,Flex,Tactical,Press,BOLTS / I0 / 0/6 (35.0%); SALE / I0 / 3/6 (35.0%); SALE / I1 / 4/6 (30.0%)
C,Flex,Strategic,Bank,SALE / I0 / 3/6 (100.0%)
C,Flex,Strategic,Press,BOLTS / I0 / 0/6 (35.0%); SALE / I0 / 3/6 (35.0%); SALE / I1 / 4/6 (30.0%)
C,Flex,Flex,Bank,SALE / I0 / 3/6 (100.0%)
C,Flex,Flex,Press,BOLTS / I0 / 0/6 (35.0%); SALE / I0 / 3/6 (35.0%); SALE / I1 / 4/6 (30.0%)
P,Tactical,Tactical,Bank,SALE / I0 / 3/6 (100.0%)
P,Tactical,Tactical,Press,SALE / I1 / 4/6 (100.0%)
P,Tactical,Strategic,Bank,SALE / I0 / 3/6 (100.0%)
P,Tactical,Strategic,Press,SALE / I1 / 4/6 (100.0%)
P,Tactical,Flex,Bank,SALE / I0 / 3/6 (100.0%)
P,Tactical,Flex,Press,SALE / I1 / 4/6 (100.0%)
P,Strategic,Tactical,Bank,SALE / I0 / 3/6 (100.0%)
P,Strategic,Tactical,Press,SALE / I1 / 4/6 (100.0%)
P,Strategic,Strategic,Bank,SALE / I1 / 4/6 (100.0%)
P,Strategic,Strategic,Press,SALE / I1 / 4/6 (100.0%)
P,Strategic,Flex,Bank,SALE / I0 / 3/6 (100.0%)
P,Strategic,Flex,Press,SALE / I1 / 4/6 (100.0%)
P,Flex,Tactical,Bank,SALE / I0 / 3/6 (100.0%)
P,Flex,Tactical,Press,SALE / I1 / 4/6 (100.0%)
P,Flex,Strategic,Bank,SALE / I0 / 3/6 (100.0%)
P,Flex,Strategic,Press,SALE / I1 / 4/6 (100.0%)
P,Flex,Flex,Bank,SALE / I0 / 3/6 (100.0%)
P,Flex,Flex,Press,SALE / I1 / 4/6 (100.0%)
A,Tactical,Tactical,Bank,SALE / I0 / 3/6 (100.0%)
A,Tactical,Tactical,Press,BOLTS / I1 / 1/6 (50.0%); SALE / I1 / 4/6 (50.0%)
A,Tactical,Strategic,Bank,SALE / I0 / 3/6 (100.0%)
A,Tactical,Strategic,Press,BOLTS / I1 / 1/6 (50.0%); SALE / I1 / 4/6 (50.0%)
A,Tactical,Flex,Bank,SALE / I1 / 4/6 (100.0%)
A,Tactical,Flex,Press,BOLTS / I1 / 1/6 (50.0%); SALE / I1 / 4/6 (50.0%)
A,Strategic,Tactical,Bank,SALE / I0 / 3/6 (100.0%)
A,Strategic,Tactical,Press,BOLTS / I1 / 1/6 (50.0%); SALE / I1 / 4/6 (50.0%)
A,Strategic,Strategic,Bank,SALE / I1 / 4/6 (100.0%)
A,Strategic,Strategic,Press,BOLTS / I2 / 2/6 (50.0%); SALE / I2 / 5/6 (50.0%)
A,Strategic,Flex,Bank,SALE / I1 / 4/6 (100.0%)
A,Strategic,Flex,Press,BOLTS / I1 / 1/6 (50.0%); SALE / I1 / 4/6 (50.0%)
A,Flex,Tactical,Bank,SALE / I1 / 4/6 (100.0%)
A,Flex,Tactical,Press,BOLTS / I2 / 2/6 (83.3%); SALE / I2 / 5/6 (16.7%)
A,Flex,Strategic,Bank,SALE / I1 / 4/6 (100.0%)
A,Flex,Strategic,Press,BOLTS / I2 / 2/6 (83.3%); SALE / I2 / 5/6 (16.7%)
A,Flex,Flex,Bank,SALE / I2 / 5/6 (100.0%)
A,Flex,Flex,Press,BOLTS / I2 / 2/6 (66.7%); PYRRHIC GRAND SLAM / I4 / 5/6 (16.7%); GRAND SLAM / I4 / 6/6 (16.7%)
