,D1,D2,D3,Mean score,0/6 %,1/6 %,2/6 %,3/6 %,4/6 %,5/6 %,6/6 %
8,Strategic,Strategic,Bank,4.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
10,Strategic,Flex,Bank,3.667008,0.0,0.0,0.0,33.2992,66.7008,0.0,0.0
16,Flex,Flex,Bank,3.666064,0.0,0.0,0.0,66.6968,0.0,33.3032,0.0
9,Strategic,Strategic,Press,3.478316,0.0,11.7016,16.8456,0.0,54.825199999999995,16.6276,0.0
12,Flex,Tactical,Bank,3.3341,0.0,0.0,0.0,66.59,33.410000000000004,0.0,0.0
14,Flex,Strategic,Bank,3.333424,0.0,0.0,0.0,66.65759999999999,33.3424,0.0,0.0
4,Tactical,Flex,Bank,3.33266,0.0,0.0,0.0,66.73400000000001,33.266,0.0,0.0
11,Strategic,Flex,Press,3.149404,0.0,28.3532,0.0,0.0,71.6468,0.0,0.0
17,Flex,Flex,Press,3.136696,11.6852,0.0,22.2204,11.691600000000001,43.36,5.5428,5.5
0,Tactical,Tactical,Bank,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
6,Strategic,Tactical,Bank,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2,Tactical,Strategic,Bank,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
5,Tactical,Flex,Press,2.92256,11.5288,16.6352,0.0,11.7232,60.1128,0.0,0.0
1,Tactical,Tactical,Press,2.920612,11.5608,16.683600000000002,0.0,11.6448,60.1108,0.0,0.0
3,Tactical,Strategic,Press,2.916344,11.709999999999999,16.6408,0.0,11.6032,60.046,0.0,0.0
7,Strategic,Tactical,Press,2.914792,11.666,16.714000000000002,0.0,11.7148,59.9052,0.0,0.0
13,Flex,Tactical,Press,2.913996,11.7108,0.0,27.8252,11.6436,43.2836,5.5368,0.0
15,Flex,Strategic,Press,2.912924,11.6956,0.0,27.857599999999998,11.7544,43.147999999999996,5.5444,0.0
